ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-07-30,29467.219536307326,22782.738549282505,44578.8711869317,29467.219536307326,29467.219536307326,0.15265245038886183,0.15265245038886183,0.15265245038886183,0.15265245038886183,0.15265245038886183,0.15265245038886183,0.0,0.0,0.0,33965.46280467118
2018-07-31,29429.835836654198,21984.20384185237,43111.106118239564,29429.835836654198,29429.835836654198,0.11511043114974759,0.11511043114974759,0.11511043114974759,0.11511043114974759,0.11511043114974759,0.11511043114974759,0.0,0.0,0.0,32817.51692847775
2018-08-01,29392.45213700107,21251.350053994265,42364.83370759122,29392.45213700107,29392.45213700107,0.09866225732442939,0.09866225732442939,0.09866225732442939,0.09866225732442939,0.09866225732442939,0.09866225732442939,0.0,0.0,0.0,32292.377813137842
2018-08-02,29355.068437347945,20363.150818582064,42352.9534804093,29355.068437347945,29355.068437347945,0.04453774199999868,0.04453774199999868,0.04453774199999868,0.04453774199999868,0.04453774199999868,0.04453774199999868,0.0,0.0,0.0,30662.47690180285
2018-08-03,29317.684737694817,18434.269460356718,39303.3255260539,29317.684737694817,29317.684737694817,-0.0003731179273134648,-0.0003731179273134648,-0.0003731179273134648,-0.0003731179273134648,-0.0003731179273134648,-0.0003731179273134648,0.0,0.0,0.0,29306.74578393186
2018-08-04,29280.301038041693,12205.249325406336,33481.96946216358,29280.301038041693,29280.301038041693,-0.23303584470434016,-0.23303584470434016,-0.23303584470434016,-0.23303584470434016,-0.23303584470434016,-0.23303584470434016,0.0,0.0,0.0,22456.94135244428
2018-08-05,29242.917338388565,13553.433779357518,34164.32353853172,29242.917338388565,29242.917338388565,-0.17755391823115746,-0.17755391823115746,-0.17755391823115746,-0.17755391823115746,-0.17755391823115746,-0.17755391823115746,0.0,0.0,0.0,24050.722784447826
2018-08-06,29205.533638735436,23468.192611616923,44196.91219822151,29205.533638735436,29205.533638735436,0.15265245038864417,0.15265245038864417,0.15265245038864417,0.15265245038864417,0.15265245038864417,0.15265245038864417,0.0,0.0,0.0,33663.829913596375
2018-08-07,29168.149939082312,22013.402165046587,42780.24774722127,29168.149939082312,29168.149939082312,0.1151104311500623,0.1151104311500623,0.1151104311500623,0.1151104311500623,0.1151104311500623,0.1151104311500623,0.0,0.0,0.0,32525.708254419744
2018-08-08,29130.766239429184,20933.06603590421,43002.93654351821,29130.766239429184,29130.766239429184,0.09866225732445781,0.09866225732445781,0.09866225732445781,0.09866225732445781,0.09866225732445781,0.09866225732445781,0.0,0.0,0.0,32004.873394202372
2018-08-09,29093.38253977606,20244.633579121095,41575.81846910088,29093.38253977606,29093.38253977606,0.04453774200005486,0.04453774200005486,0.04453774200005486,0.04453774200005486,0.04453774200005486,0.04453774200005486,0.0,0.0,0.0,30389.136105241505
2018-08-10,29055.998840122935,17922.468651838222,39521.4323482095,29055.998840122935,29055.998840122935,-0.0003731179272580057,-0.0003731179272580057,-0.0003731179272580057,-0.0003731179272580057,-0.0003731179272580057,-0.0003731179272580057,0.0,0.0,0.0,29045.157526061295
2018-08-11,29018.615140469803,11627.693472936333,32063.249229785833,29018.615140469803,29018.615140469803,-0.23303584470441102,-0.23303584470441102,-0.23303584470441102,-0.23303584470441102,-0.23303584470441102,-0.23303584470441102,0.0,0.0,0.0,22256.237649058214
2018-08-12,28981.231440816682,13144.878136904941,34360.797405160105,28981.231440816682,28981.231440816682,-0.17755391823182132,-0.17755391823182132,-0.17755391823182132,-0.17755391823182132,-0.17755391823182132,-0.17755391823182132,0.0,0.0,0.0,23835.500243316426
2018-08-13,28943.847741163554,22757.271328888226,44721.2890597062,28943.847741163554,28943.847741163554,0.15265245038883407,0.15265245038883407,0.15265245038883407,0.15265245038883407,0.15265245038883407,0.15265245038883407,0.0,0.0,0.0,33362.19702253349
2018-08-14,28906.464041510426,21513.831891118996,42924.99493895588,28906.464041510426,28906.464041510426,0.11511043114997527,0.11511043114997527,0.11511043114997527,0.11511043114997527,0.11511043114997527,0.11511043114997527,0.0,0.0,0.0,32233.89958034995
2018-08-15,28869.0803418573,20819.567743077303,42696.539255699114,28869.0803418573,28869.0803418573,0.09866225732441367,0.09866225732441367,0.09866225732441367,0.09866225732441367,0.09866225732441367,0.09866225732441367,0.0,0.0,0.0,31717.368975264795
2018-08-16,28831.696642204173,18839.5405163436,40642.010809023515,28831.696642204173,28831.696642204173,0.04453774199991832,0.04453774199991832,0.04453774199991832,0.04453774199991832,0.04453774199991832,0.04453774199991832,0.0,0.0,0.0,30115.795308674573
2018-08-17,28794.31294255105,18151.33624131968,39331.805992314,28794.31294255105,28794.31294255105,-0.00037311792704575186,-0.00037311792704575186,-0.00037311792704575186,-0.00037311792704575186,-0.00037311792704575186,-0.00037311792704575186,0.0,0.0,0.0,28783.569268195217
2018-08-18,28756.929242897924,11578.619165872464,32136.23451439607,28756.929242897924,28756.929242897924,-0.23303584470443495,-0.23303584470443495,-0.23303584470443495,-0.23303584470443495,-0.23303584470443495,-0.23303584470443495,0.0,0.0,0.0,22055.53394567354
2018-08-19,28719.545543244792,13585.892942555682,34137.2294916932,28719.545543244792,28719.545543244792,-0.17755391823142327,-0.17755391823142327,-0.17755391823142327,-0.17755391823142327,-0.17755391823142327,-0.17755391823142327,0.0,0.0,0.0,23620.27770221587
2018-08-20,28682.161843591668,21771.805409139775,43481.226229715554,28682.161843591668,28682.161843591668,0.152652450389024,0.152652450389024,0.152652450389024,0.152652450389024,0.152652450389024,0.152652450389024,0.0,0.0,0.0,33060.564131470506
2018-08-21,28644.778143938544,21837.13446296192,42627.36139955109,28644.778143938544,28644.778143938544,0.11511043114988825,0.11511043114988825,0.11511043114988825,0.11511043114988825,0.11511043114988825,0.11511043114988825,0.0,0.0,0.0,31942.090906280206
2018-08-22,28607.394444285415,21490.076603179783,41479.39319886883,28607.394444285415,28607.394444285415,0.09866225732451822,0.09866225732451822,0.09866225732451822,0.09866225732451822,0.09866225732451822,0.09866225732451822,0.0,0.0,0.0,31429.864556331493
2018-08-23,28570.01074463229,20256.39707907254,40659.168510013405,28570.01074463229,28570.01074463229,0.044537742000133315,0.044537742000133315,0.044537742000133315,0.044537742000133315,0.044537742000133315,0.044537742000133315,0.0,0.0,0.0,29842.45451211776
2018-08-24,28532.627044979163,18244.94375281251,39748.547229383104,28532.627044979163,28532.627044979163,-0.0003731179273827774,-0.0003731179273827774,-0.0003731179273827774,-0.0003731179273827774,-0.0003731179273827774,-0.0003731179273827774,0.0,0.0,0.0,28521.981010313353
2018-08-25,28495.24334532604,11464.627067014751,33162.953119555335,28495.24334532604,28495.24334532604,-0.2330358447044588,-0.2330358447044588,-0.2330358447044588,-0.2330358447044588,-0.2330358447044588,-0.2330358447044588,0.0,0.0,0.0,21854.830242288877
2018-08-26,28457.859645672914,12546.351575710056,33863.362743912694,28457.859645672914,28457.859645672914,-0.17755391823129507,-0.17755391823129507,-0.17755391823129507,-0.17755391823129507,-0.17755391823129507,-0.17755391823129507,0.0,0.0,0.0,23405.055161107433
2018-08-27,28420.475946019782,22333.8597666831,43459.50923457104,28420.475946019782,28420.475946019782,0.15265245038902983,0.15265245038902983,0.15265245038902983,0.15265245038902983,0.15265245038902983,0.15265245038902983,0.0,0.0,0.0,32758.931240402184
2018-08-28,28383.092246366657,21137.08561795082,41799.95134480568,28383.092246366657,28383.092246366657,0.11511043115006395,0.11511043115006395,0.11511043115006395,0.11511043115006395,0.11511043115006395,0.11511043115006395,0.0,0.0,0.0,31650.28223221796
2018-08-29,28345.70854671353,20282.12850413603,41813.84064789125,28345.70854671353,28345.70854671353,0.09866225732447403,0.09866225732447403,0.09866225732447403,0.09866225732447403,0.09866225732447403,0.09866225732447403,0.0,0.0,0.0,31142.36013739392
2018-08-30,28308.324847060405,18894.20498813693,39373.51293769892,28308.324847060405,28308.324847060405,0.04453774199999677,0.04453774199999677,0.04453774199999677,0.04453774199999677,0.04453774199999677,0.04453774199999677,0.0,0.0,0.0,29569.11371555088
2018-08-31,28270.94114740728,17448.766171028266,39081.25927983761,28270.94114740728,28270.94114740728,-0.0003731179273273495,-0.0003731179273273495,-0.0003731179273273495,-0.0003731179273273495,-0.0003731179273273495,-0.0003731179273273495,0.0,0.0,0.0,28260.392752442767
2018-09-01,28233.557447754152,11766.08512711692,32857.06977769591,28233.557447754152,28233.557447754152,-0.23303584470448263,-0.23303584470448263,-0.23303584470448263,-0.23303584470448263,-0.23303584470448263,-0.23303584470448263,0.0,0.0,0.0,21654.126538904224
2018-09-02,28196.173748101028,12373.566921796577,33876.63322499194,28196.173748101028,28196.173748101028,-0.1775539182314192,-0.1775539182314192,-0.1775539182314192,-0.1775539182314192,-0.1775539182314192,-0.1775539182314192,0.0,0.0,0.0,23189.83261999181
2018-09-03,28158.790048447896,22377.566480300917,42741.23677400349,28158.790048447896,28158.790048447896,0.15265245038858868,0.15265245038858868,0.15265245038858868,0.15265245038858868,0.15265245038858868,0.15265245038858868,0.0,0.0,0.0,32457.298349321274
2018-09-04,28121.40634879477,20267.18789509489,41763.03796412587,28121.40634879477,28121.40634879477,0.11511043114991504,0.11511043114991504,0.11511043114991504,0.11511043114991504,0.11511043114991504,0.11511043114991504,0.0,0.0,0.0,31358.473558146492
2018-09-05,28084.022649141647,20512.074067081434,41679.80638933897,28084.022649141647,28084.022649141647,0.09866225732442985,0.09866225732442985,0.09866225732442985,0.09866225732442985,0.09866225732442985,0.09866225732442985,0.0,0.0,0.0,30854.855718456376
2018-09-06,28046.63894948852,18815.102649643093,39894.243863353215,28046.63894948852,28046.63894948852,0.044537742000052956,0.044537742000052956,0.044537742000052956,0.044537742000052956,0.044537742000052956,0.044537742000052956,0.0,0.0,0.0,29295.772918989474
2018-09-07,28009.255249835394,17466.16284858964,39142.78824592063,28008.134495291026,28009.67939448292,-0.00037311792684042305,-0.00037311792684042305,-0.00037311792684042305,-0.00037311792684042305,-0.00037311792684042305,-0.00037311792684042305,0.0,0.0,0.0,27998.80449458423
2018-09-08,27971.871550182273,11080.62121039498,32735.665716653504,27968.589737261533,27973.934157812142,-0.23303584470455357,-0.23303584470455357,-0.23303584470455357,-0.23303584470455357,-0.23303584470455357,-0.23303584470455357,0.0,0.0,0.0,21453.42283551828
2018-09-09,27934.487850529138,12484.571761413938,32995.70027759456,27929.18393866792,27937.57664821916,-0.17755391823129096,-0.17755391823129096,-0.17755391823129096,-0.17755391823129096,-0.17755391823129096,-0.17755391823129096,0.0,0.0,0.0,22974.610078883296
2018-09-10,27897.104150876014,21706.217226772093,42546.89608525183,27888.923351109534,27902.60234282238,0.15265245038859449,0.15265245038859449,0.15265245038859449,0.15265245038859449,0.15265245038859449,0.15265245038859449,0.0,0.0,0.0,32155.665458253065
